guid,time,value
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.144310345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.144775862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.145241379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.145706897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.146172414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.146637931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.147103448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.147568966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.148034483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.1485,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.148965517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.149431034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.149896552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.150362069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.150827586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.151293103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.151758621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.152224138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.152689655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.153155172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.15362069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.154086207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.154551724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.155017241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.155482759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.155948276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.156413793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.15687931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.157344828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.157810345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.158275862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.158741379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.159206897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.159672414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.160137931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.160603448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.161068966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.161534483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.162,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.162465517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.162931034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.163396552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.163862069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.164327586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.164793103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.165258621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.165724138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.166189655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.166655172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.16712069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.167586207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.168051724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.168517241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.168982759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.169448276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.169913793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.17037931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.170844828,0.0
